,address,latitude,longitude,mrt_shortest_dist,mrt_shortest_dist_name,mall_shortest_dist,mall_shortest_dist_name,school_shortest_dist,school_shortest_dist_name,mrt_count_within_1km,mrt_list_within_1km,mall_count_within_1km,mall_list_within_1km,good_sch_count_within_1km,good_sch_list_within_1km,good_sch_score,distance_to_cbd_km
2586,642D PUNGGOL DR,1.39879750995963,103.915845691856,1.8922276647093563,Punggol MRT Station,0.5182535275586106,Oasis Terraces,0.2840915328953781,Horizon Primary School,0,[],2,"['Oasis Terraces', 'Punggol Plaza']",1,['Mee Toh School'],1,14.179301242928988
2587,618B PUNGGOL DR,1.40146581977448,103.9121219516,1.5043311571937574,Punggol MRT Station,0.2115603119760893,Oasis Terraces,0.2554574351467762,Horizon Primary School,0,[],2,"['Oasis Terraces', 'Punggol Plaza']",1,['Mee Toh School'],1,14.234989500491976
2588,289C PUNGGOL PL,1.40154924105211,103.903519454156,1.4095789648499606,Sengkang MRT Station,0.5679563602459545,Waterway Point,0.43742855380828666,Punggol Primary School,0,[],1,['Waterway Point'],1,['Mee Toh School'],1,13.817590834368353
2589,182 EDGEFIELD PLAINS,1.39892179551942,103.909311266559,1.7338600043618595,Sengkang MRT Station,0.6320148182521709,Oasis Terraces,0.2587627472919902,Edgefield Primary School,0,[],3,"['Oasis Terraces', 'Punggol Plaza', 'Rivervale Mall']",1,['Mee Toh School'],1,13.840136952846082
2590,184 EDGEFIELD PLAINS,1.39851583178002,103.910140642146,1.7969698643601628,Sengkang MRT Station,0.5731219621625027,Punggol Plaza,0.33195273731946695,Greendale Primary School,0,[],3,"['Oasis Terraces', 'Punggol Plaza', 'Rivervale Mall']",1,['Mee Toh School'],1,13.84341566997301
2591,97 C'WEALTH CRES,1.30616047214581,103.801495664171,0.5439261671600327,Commonwealth MRT Station,0.8196457215541522,Holland Road Shopping Centre,0.7372871672958969,New Town Primary School,2,"['Holland Village MRT Station', 'Commonwealth MRT Station']",1,['Holland Road Shopping Centre'],0,[],0,5.947754987336918
2592,110 C'WEALTH CRES,1.30679892406231,103.798657169107,0.4775206319164452,Commonwealth MRT Station,0.5307409668055584,Holland Road Shopping Centre,0.8075628182943504,New Town Primary School,3,"['Holland Village MRT Station', 'Buona Vista MRT Station', 'Commonwealth MRT Station']",1,['Holland Road Shopping Centre'],0,[],0,6.269033024451008
2593,85 C'WEALTH CL,1.30407495261872,103.79933169089,0.2128953065905333,Commonwealth MRT Station,0.8152661556102344,Holland Road Shopping Centre,0.4976293022065153,New Town Primary School,2,"['Holland Village MRT Station', 'Commonwealth MRT Station']",1,['Holland Road Shopping Centre'],0,[],0,6.103616677986033
2594,164 STIRLING RD,1.29151824833554,103.802513058468,0.5194032253660676,Queenstown MRT Station,0.4422104986725616,Queensway Shopping Centre,0.7191226694692238,Queenstown Primary School,1,['Queenstown MRT Station'],3,"['Alexandra Central', 'Anchorpoint', 'Queensway Shopping Centre']",0,[],0,5.497588910346118
2595,88 C'WEALTH CL,1.30488634425758,103.79918156237,0.2841835109195535,Commonwealth MRT Station,0.7315681036354141,Holland Road Shopping Centre,0.5888866467024475,New Town Primary School,2,"['Holland Village MRT Station', 'Commonwealth MRT Station']",1,['Holland Road Shopping Centre'],0,[],0,6.14633241948605
2596,168 STIRLING RD,1.29002050735811,103.80318804437,0.5952533856424226,Queenstown MRT Station,0.266624885007167,Queensway Shopping Centre,0.7843937653118098,Queenstown Primary School,1,['Queenstown MRT Station'],3,"['Alexandra Central', 'Anchorpoint', 'Queensway Shopping Centre']",0,[],0,5.413146992496434
2597,98 C'WEALTH CRES,1.30682219078482,103.801447113437,0.5970833630561132,Commonwealth MRT Station,0.776670693917932,Holland Road Shopping Centre,0.8079475998973208,New Town Primary School,2,"['Holland Village MRT Station', 'Commonwealth MRT Station']",1,['Holland Road Shopping Centre'],0,[],0,5.977981843198316
2598,161 MEI LING ST,1.29154391563021,103.803508038366,0.4385215401178653,Queenstown MRT Station,0.3712719526873674,Anchorpoint,0.6346156441121564,Queenstown Primary School,1,['Queenstown MRT Station'],3,"['Alexandra Central', 'Anchorpoint', 'Queensway Shopping Centre']",0,[],0,5.387355461230245
2599,162 MEI LING ST,1.29225467139033,103.802856952057,0.4392059400746173,Queenstown MRT Station,0.4779996799175421,Anchorpoint,0.6394885393335809,Queenstown Primary School,1,['Queenstown MRT Station'],3,"['Alexandra Central', 'Anchorpoint', 'Queensway Shopping Centre']",0,[],0,5.465898441853596
2600,160 MEI LING ST,1.29209690708572,103.804229821165,0.3404351244480209,Queenstown MRT Station,0.3818037068821785,Anchorpoint,0.5347161463694728,Queenstown Primary School,1,['Queenstown MRT Station'],3,"['Alexandra Central', 'Anchorpoint', 'Queensway Shopping Centre']",0,[],0,5.312173103375616
2601,6 HOLLAND CL,1.30711569200945,103.795264623935,0.5578178369731297,Buona Vista MRT Station,0.3498147760813024,Holland Road Shopping Centre,0.9863108241127783,New Town Primary School,3,"['Holland Village MRT Station', 'Buona Vista MRT Station', 'Commonwealth MRT Station']",3,"['The Star Vista', 'Rochester Mall', 'Holland Road Shopping Centre']",0,[],0,6.637410320529709
2602,12 HOLLAND AVE,1.30935284651406,103.794873297267,0.3677364586498853,Holland Village MRT Station,0.1162892622188326,Holland Road Shopping Centre,1.2213345969656433,New Town Primary School,3,"['Holland Village MRT Station', 'Buona Vista MRT Station', 'Commonwealth MRT Station']",3,"['The Star Vista', 'Rochester Mall', 'Holland Road Shopping Centre']",0,[],0,6.761248179439235
2603,61B STRATHMORE AVE,1.29375107969483,103.811956712048,0.6602922955018208,Queenstown MRT Station,0.8848047712561842,Anchorpoint,0.5312079559489319,Queenstown Primary School,2,"['Redhill MRT Station', 'Queenstown MRT Station']",1,['Anchorpoint'],0,[],0,4.478562727489901
2604,26 GHIM MOH LINK,1.30838826045914,103.785551268112,0.5389263787988058,Buona Vista MRT Station,0.3677650021692604,The Star Vista,0.8165365612303456,Fairfield Methodist School (Primary),3,"['one-north MRT Station', 'Dover MRT Station', 'Buona Vista MRT Station']",2,"['The Star Vista', 'Rochester Mall']",2,"['Fairfield Methodist School (Primary)', 'Henry Park Primary School']",2,7.709684385221186
2605,18B HOLLAND DR,1.31101768983656,103.791451916991,0.4402090199761586,Buona Vista MRT Station,0.4437882256642607,Holland Road Shopping Centre,1.0127742204608323,Henry Park Primary School,2,"['Holland Village MRT Station', 'Buona Vista MRT Station']",3,"['The Star Vista', 'Rochester Mall', 'Holland Road Shopping Centre']",0,[],0,7.182468885700335
2606,18A HOLLAND DR,1.31105861114958,103.791886575536,0.4613504089266417,Buona Vista MRT Station,0.3973041896809956,Holland Road Shopping Centre,1.0485488174265971,Henry Park Primary School,2,"['Holland Village MRT Station', 'Buona Vista MRT Station']",3,"['The Star Vista', 'Rochester Mall', 'Holland Road Shopping Centre']",0,[],0,7.138886310760826
2607,56 STIRLING RD,1.29669615080442,103.804269469708,0.3110381214489832,Queenstown MRT Station,0.8710409162499277,Anchorpoint,0.3847637798964577,Queenstown Primary School,2,"['Commonwealth MRT Station', 'Queenstown MRT Station']",1,['Anchorpoint'],0,[],0,5.3756057850892365
2608,55 STIRLING RD,1.29658923591676,103.804175434758,0.3091860457326643,Queenstown MRT Station,0.8612707281142955,Anchorpoint,0.39121402174319003,Queenstown Primary School,2,"['Commonwealth MRT Station', 'Queenstown MRT Station']",2,"['Anchorpoint', 'Queensway Shopping Centre']",0,[],0,5.383791353400588
2609,17 DOVER CRES,1.30765453773173,103.782891219198,0.6293482648594811,Dover MRT Station,0.6269681720432418,The Star Vista,0.7887762185525505,Fairfield Methodist School (Primary),2,"['Dover MRT Station', 'Buona Vista MRT Station']",2,"['The Star Vista', 'Rochester Mall']",1,['Fairfield Methodist School (Primary)'],1,7.970640234345693
2610,5 DOVER CRES,1.30406012764311,103.782637200936,0.7168579627022934,one-north MRT Station,0.6634892635228483,Rochester Mall,0.4610318912191989,Fairfield Methodist School (Primary),3,"['one-north MRT Station', 'Dover MRT Station', 'Buona Vista MRT Station']",2,"['The Star Vista', 'Rochester Mall']",1,['Fairfield Methodist School (Primary)'],1,7.898845843524831
2611,21 QUEEN'S CL,1.2932777500051,103.799918049241,0.6997610758596375,Queenstown MRT Station,0.7355747789214875,Queensway Shopping Centre,0.7040111303982409,New Town Primary School,1,['Queenstown MRT Station'],3,"['Alexandra Central', 'Anchorpoint', 'Queensway Shopping Centre']",0,[],0,5.802187336843249
2612,20 QUEEN'S CL,1.29275007138267,103.799935877832,0.7118859555171609,Queenstown MRT Station,0.6855016603031547,Queensway Shopping Centre,0.7622855329188031,New Town Primary School,1,['Queenstown MRT Station'],3,"['Alexandra Central', 'Anchorpoint', 'Queensway Shopping Centre']",0,[],0,5.794581809711648
2613,55 STRATHMORE AVE,1.29338294925716,103.809330719416,0.384433156303584,Queenstown MRT Station,0.6431114663877464,Anchorpoint,0.31478646276440037,Queenstown Primary School,2,"['Redhill MRT Station', 'Queenstown MRT Station']",3,"['Alexandra Central', 'Anchorpoint', 'Queensway Shopping Centre']",0,[],0,4.762684388231917
2614,18D HOLLAND DR,1.30998398427407,103.792601366744,0.4017860773108088,Buona Vista MRT Station,0.3099558615769187,Holland Road Shopping Centre,1.1840302219523982,Henry Park Primary School,2,"['Holland Village MRT Station', 'Buona Vista MRT Station']",3,"['The Star Vista', 'Rochester Mall', 'Holland Road Shopping Centre']",0,[],0,7.02256485836921
2615,30 HOLLAND CL,1.30774789148086,103.796627163472,0.4996975165493501,Holland Village MRT Station,0.3126908155983612,Holland Road Shopping Centre,0.9761943999490993,New Town Primary School,3,"['Holland Village MRT Station', 'Buona Vista MRT Station', 'Commonwealth MRT Station']",3,"['The Star Vista', 'Rochester Mall', 'Holland Road Shopping Centre']",0,[],0,6.517030664560266
2616,91 TANGLIN HALT RD,1.30072792288033,103.799417284922,0.2366111659982057,Commonwealth MRT Station,1.147944548275247,Holland Road Shopping Centre,0.14223548858629928,New Town Primary School,1,['Commonwealth MRT Station'],0,[],0,[],0,5.996707259809754
2617,28A DOVER CRES,1.30491595746286,103.782188062776,0.8179027473703863,one-north MRT Station,0.6986453187023425,Rochester Mall,0.5650764740797142,Fairfield Methodist School (Primary),3,"['one-north MRT Station', 'Dover MRT Station', 'Buona Vista MRT Station']",2,"['The Star Vista', 'Rochester Mall']",1,['Fairfield Methodist School (Primary)'],1,7.9692913987407055
2618,28 GHIM MOH LINK,1.30887985026284,103.784802916649,0.6336404165515549,Buona Vista MRT Station,0.4669324882502871,The Star Vista,0.8639514415997662,Henry Park Primary School,2,"['Dover MRT Station', 'Buona Vista MRT Station']",2,"['The Star Vista', 'Rochester Mall']",2,"['Fairfield Methodist School (Primary)', 'Henry Park Primary School']",2,7.805291361902377
2619,80 STRATHMORE AVE,1.2945613912197,103.809692095051,0.4023128398783318,Queenstown MRT Station,0.7705193578986316,Anchorpoint,0.2644515312194028,Queenstown Primary School,2,"['Redhill MRT Station', 'Queenstown MRT Station']",2,"['Alexandra Central', 'Anchorpoint']",0,[],0,4.741116977572573
2620,12 DOVER CL EAST,1.30499200291151,103.785807493097,0.5529229690640437,Buona Vista MRT Station,0.2972914545944896,Rochester Mall,0.44266217086941945,Fairfield Methodist School (Primary),2,"['one-north MRT Station', 'Buona Vista MRT Station']",2,"['The Star Vista', 'Rochester Mall']",1,['Fairfield Methodist School (Primary)'],1,7.580475155473715
2621,81 STRATHMORE AVE,1.29462040658733,103.80927727367,0.3562281849305694,Queenstown MRT Station,0.7496829078305113,Anchorpoint,0.2204381567968045,Queenstown Primary School,2,"['Redhill MRT Station', 'Queenstown MRT Station']",2,"['Alexandra Central', 'Anchorpoint']",0,[],0,4.7877371662338675
2622,147 MEI LING ST,1.29431742627588,103.804931843663,0.1300503430066346,Queenstown MRT Station,0.599920362975454,Anchorpoint,0.3236136368062786,Queenstown Primary School,1,['Queenstown MRT Station'],3,"['Alexandra Central', 'Anchorpoint', 'Queensway Shopping Centre']",0,[],0,5.261519376072041
2623,470 SEMBAWANG DR,1.45157616201366,103.81515743452,0.6115135597333561,Sembawang MRT Station,0.611161646988028,Sun Plaza,0.08597507182604572,Canberra Primary School,1,['Sembawang MRT Station'],1,['Sun Plaza'],0,[],0,18.546085852382607
