,Mall,latitude,longitude
67,Katong Square,1.30477683917233,103.904617722414
68,Kallang Wave Mall,1.30307515150401,103.873149707591
69,Leisure Park Kallang,1.30230108405227,103.876473975883
70,i12 Katong,1.30522306203042,103.905043928938
71,Parkway Parade,1.30091736056425,103.90533928065
72,Paya Lebar Square,1.31881486980278,103.892580778242
73,Roxy Square,1.30432599904899,103.904051120306
74,Singpost Centre,1.31899666903663,103.894894915962
75,Tampines 1,1.34633535808984,103.933979581362
76,Tampines Mall,1.35252737278519,103.944698751072
77,White Sands,1.37244981718271,103.949715695281
78,City Plaza,1.31495729651441,103.893400329225
79,Elias Mall,1.37790533095468,103.94233582068
80,Loyang Point,1.36645364037722,103.964598499523
81,888 Plaza,1.43711856085535,103.795316064775
82,Admiralty Place,1.43938615380542,103.801706470491
83,AMK Hub,1.36938922690344,103.84847796594
84,Canberra Plaza,1.44349544527985,103.830345369213
85,Causeway Point,1.43600784474269,103.78568873405
86,Woodlands Civic Centre,1.43501829566013,103.786930895956
87,Broadway Plaza,1.37193729131781,103.845949444498
88,Djitsun Mall,1.32611970329469,103.929554495615
89,Jubilee Square,1.37178558575829,103.847837565378
90,Junction 8,1.35012457632394,103.848487134435
91,Junction Nine,1.4331228398318,103.84166098599
92,Marsiling Mall,1.43354318137534,103.77988189197
93,Northpoint City,1.42822560922688,103.836419992398
94,Sembawang Shopping Centre,1.44182470675733,103.824845207237
95,Sun Plaza,1.44819535371132,103.819502127155
96,Vista Point,1.4308011390122,103.794104795966
97,Wisteria Mall,1.41798969122298,103.841317292608
98,Woodlands Mart,1.44564787003157,103.798162285805
99,Woodlands North Plaza,1.44285222154947,103.790913269769
100,Waterway Point,1.40648462132006,103.902105680785
101,Compass One,1.3920543053799,103.895063884132
102,Hougang Mall,1.37248308734511,103.893788141349
103,Heartland Mall,1.35954450890401,103.885169070198
104,NEX,1.35076935257845,103.872296143862
105,Buangkok Square,1.38433426615655,103.881623070164
106,Greenwich V,1.38739539397015,103.869135978173
107,Hougang 1,1.35664284566921,103.889828868222
108,Hougang Green Shopping Mall,1.3792452907016,103.887832017102
109,Hougang Rivercourt,1.36220591877146,103.894742116488
110,myVillage At Serangoon Garden,1.36511490572797,103.865159501442
111,Northshore Plaza,1.41676127156324,103.902074379502
112,Oasis Terraces,1.40282352005409,103.91346139614
113,Punggol Plaza,1.39423719717117,103.913047323223
114,Rivervale Mall,1.39221732695142,103.904473070943
115,Rivervale Plaza,1.38548325969894,103.901870455683
116,The Seletar Mall,1.39147015374628,103.876125507257
117,Upper Serangoon Shopping Centre,1.35348082277147,103.878828134896
118,Beauty World Centre,1.34241264188642,103.776539385406
119,Beauty World Plaza,1.34180018619223,103.776259359854
120,Bukit Panjang Plaza,1.37989494369864,103.764459887796
121,Bukit Timah Plaza,1.3386316527745,103.778585430975
122,Fajar Shopping Centre,1.38364777037534,103.770886644788
123,Greenridge Shopping Centre,1.38540569310644,103.766228468185
124,Hillion Mall,1.37841165144214,103.76382945872
125,HillV2,1.36267450828024,103.76417292006
126,Junction 10,1.38055127973087,103.760106974822
127,Keat Hong Shopping Centre,1.37736607441394,103.744393648768
128,Limbang Shopping Centre,1.3920738867617,103.743099573442
129,Lot One,1.38506992325619,103.745238868238
130,Rail Mall,1.35773050150178,103.768137724847
131,Sunshine Place,1.37789727709418,103.739015486021
132,Teck Whye Shopping Centre,1.38004752975397,103.752483841199
133,West Mall,1.35037541626109,103.74912389291
134,Yew Tee Point,1.39705741516141,103.746662121143
135,Yew Tee Square,1.39804736098268,103.74708477866
136,321 Clementi,1.31200212030821,103.764986676365
137,The Clementi Mall,1.31489619639366,103.764423054189
138,IMM,1.33487526118006,103.746894773008
139,JCube,1.33332312550425,103.740187071348
