,name,latitude,longitude,opening_date
95,Sun Plaza,1.448195,103.8195,1/11/1999
96,Vista Point,1.430801,103.7941,1/1/2001
97,Wisteria Mall,1.41799,103.8413,1/1/2018
98,Woodlands Mart,1.445648,103.7982,1/1/1997
99,Woodlands North Plaza,1.442852,103.7909,1/1/1996
100,Waterway Point,1.406485,103.9021,18/1/2016
101,Compass One,1.392054,103.8951,1/9/2016
102,Hougang Mall,1.372483,103.8938,1/1/1997
103,Heartland Mall,1.359545,103.8852,1/1/1984
104,NEX,1.350769,103.8723,25/11/2010
105,Buangkok Square,1.384334,103.8816,24/2/2019
106,Greenwich V,1.387395,103.8691,22/9/2010
107,Hougang 1,1.356643,103.8898,1/1/1997
108,Hougang Green Shopping Mall,1.379245,103.8878,1/1/1999
109,Hougang Rivercourt,1.362206,103.8947,1/5/2022
110,myVillage At Serangoon Garden,1.365115,103.8652,1/1/1991
111,Northshore Plaza,1.416761,103.9021,1/10/2021
112,Oasis Terraces,1.402824,103.9135,5/5/2018
113,Punggol Plaza,1.394237,103.913,1/1/2004
114,Rivervale Mall,1.392217,103.9045,21/4/2001
115,Rivervale Plaza,1.385483,103.9019,1/1/2001
116,The Seletar Mall,1.39147,103.8761,28/11/2014
117,Upper Serangoon Shopping Centre,1.353481,103.8788,1/1/1980
118,Beauty World Centre,1.342413,103.7765,1/1/1984
119,Beauty World Plaza,1.3418,103.7763,1/1/1982
120,Bukit Panjang Plaza,1.379895,103.7645,1/1/1995
121,Bukit Timah Plaza,1.338632,103.7786,1/1/1978
122,Fajar Shopping Centre,1.383648,103.7709,1/1/1984
123,Greenridge Shopping Centre,1.385406,103.7662,1/1/1994
124,Hillion Mall,1.378412,103.7638,24/2/2017
125,HillV2,1.362675,103.7642,1/1/2015
126,Junction 10,1.380551,103.7601,1/1/1998
127,Keat Hong Shopping Centre,1.377366,103.7444,1/1/1997
128,Limbang Shopping Centre,1.392074,103.7431,1/1/1999
129,Lot One,1.38507,103.7452,1/8/1996
130,Rail Mall,1.357731,103.7681,1/1/2003
131,Sunshine Place,1.377897,103.739,30/12/2004
132,Teck Whye Shopping Centre,1.380048,103.7525,1/1/2014
133,West Mall,1.350375,103.7491,19/1/1998
134,Yew Tee Point,1.397057,103.7467,1/3/2009
135,Yew Tee Square,1.398047,103.7471,25/10/1997
136,321 Clementi,1.312002,103.765,1/1/2015
137,The Clementi Mall,1.314896,103.7644,21/5/2011
138,IMM,1.334875,103.7469,2/1/1991
139,JCube,1.333323,103.7402,1/1/1993
140,Jem,1.333293,103.7433,1/6/2013
141,Westgate,1.334158,103.7428,2/12/2013
142,Jurong Point,1.339452,103.7067,22/12/1995
143,Pioneer Mall,1.341692,103.6972,1/1/1997
144,The Star Vista,1.306815,103.7885,17/9/2012
145,Alexandra Central,1.287283,103.8053,1/1/2016
146,Anchorpoint,1.288935,103.8056,1/1/1997
147,Boon Lay Shopping Centre,1.346336,103.7124,1/1/1970
148,Grantral Mall,1.31427,103.7651,1/11/2018
149,Fairprice Hub,1.325618,103.6784,8/12/2014
150,Gek Poh Shopping Centre,1.348744,103.6977,1/1/1998
151,Rochester Mall,1.305408,103.7884,1/1/2011
152,Taman Jurong Shopping Centre,1.334845,103.7205,1/1/1976
153,West Coast Plaza,1.303697,103.7661,15/11/2008
154,Queensway Shopping Centre,1.287618,103.8034,1/1/1976
155,City Gate,1.302316,103.8623,4/1/2000
156,Holland Road Shopping Centre,1.310277,103.7954,1/1/1971
157,Mustafa Centre,1.310112,103.8553,1/1/1995
158,Shaw House,1.293694,103.7733,1/1/1993
159,KINEX,1.314618,103.8947,1/1/2019
160,Paya Lebar Quarter,1.317524,103.8927,24/10/2019
