,name,SAP,GEP,Affiliated_Secondary,latitude,longitude
49,Farrer Park Primary School,0,0,0,1.31236867681371,103.850766402965
50,Fengshan Primary School,0,0,0,1.32980598760785,103.931710293058
51,Fern Green Primary School,0,0,0,1.39726966050479,103.880330305684
52,Fernvale Primary School,0,0,0,1.39030227963797,103.874445458032
53,First Toa Payoh Primary School,0,0,0,1.34032299499938,103.855529906182
54,Frontier Primary School,0,0,0,1.3366431119298,103.699682818103
55,Fuchun Primary School,0,0,0,1.43063975763573,103.778175192579
56,Fuhua Primary School,0,0,0,1.33650394789627,103.736103745748
57,Gan Eng Seng Primary School,0,0,0,1.28559516494962,103.815547410064
58,Geylang Methodist School (Primary),0,0,1,1.31759126757284,103.883845744916
59,Gongshang Primary School,0,0,0,1.35723721393297,103.949115320172
60,Greendale Primary School,0,0,0,1.39648195114256,103.91233462071
61,Greenridge Primary School,0,0,0,1.3858892193692,103.767794469258
62,Greenwood Primary School,0,0,0,1.4401104867196,103.804515180606
63,Guangyang Primary School,0,0,0,1.34569011530238,103.849453239895
64,Haig Girls' School,0,0,0,1.31194344271383,103.902902557195
65,Henry Park Primary School,0,1,0,1.31667646178347,103.784296227747
66,Holy Innocents' Primary School,1,0,1,1.36693830877349,103.894114899795
67,Hong Wen School,1,0,0,1.32175999964553,103.857628468881
68,Horizon Primary School,0,0,0,1.399550034492,103.913404855665
69,Hougang Primary School,0,0,0,1.37738245231461,103.880805274557
70,Huamin Primary School,0,0,0,1.42697284512936,103.844240226564
71,Innova Primary School,0,0,0,1.42896700684852,103.790607539185
72,Jiemin Primary School,0,0,0,1.42768847665227,103.830425490093
73,Jing Shan Primary School,0,0,0,1.37223290983498,103.852132214306
74,Junyuan Primary School,0,0,0,1.34787050871599,103.939327626661
75,Jurong Primary School,0,0,0,1.33917519796104,103.698803732244
76,Jurong West Primary School,0,0,0,1.33917519796104,103.698803732244
77,Keming Primary School,0,0,0,1.34552849960874,103.756449399351
78,Kheng Cheng School,0,0,0,1.3373381935639,103.847148501824
79,Kong Hwa School,1,0,0,1.31099674009193,103.888352029067
80,Kranji Primary School,0,0,0,1.39356050497104,103.747362720939
81,Kuo Chuan Presbyterian Primary School,0,0,1,1.34931014201944,103.854300279284
82,Lakeside Primary School,0,0,0,1.33820397704287,103.718089546664
83,Lianhua Primary School,0,0,0,1.35424191127295,103.754165828711
84,Maha Bodhi School,1,0,1,1.32847086658384,103.901298737314
85,Maris Stella High School,1,0,1,1.34139473351039,103.877852484979
86,Marsiling Primary School,0,0,0,1.43383904037059,103.773643013846
87,Marymount Convent School,0,0,0,1.34036676987375,103.840021064426
88,Mayflower Primary School,0,0,0,1.37614621670476,103.835805246743
89,Mee Toh School,0,0,1,1.3946184538592,103.908589494228
