,name,latitude,longitude
79,Bras Basah MRT Station,1.29686168649656,103.850667371637
80,Esplanade MRT Station,1.2936577245386,103.855081226245
81,Promenade MRT Station,1.29399798636232,103.860350000188
82,Nicoll Highway MRT Station,1.29958736473477,103.864040115181
83,Stadium MRT Station,1.3028124684707,103.875337711089
84,Mountbatten MRT Station,1.30620190525331,103.882528081052
85,Dakota MRT Station,1.30854798388121,103.889064718377
86,Paya Lebar MRT Station,1.3172473854035,103.892260753884
87,MacPherson MRT Station,1.32615024457361,103.889298600376
88,Tai Seng MRT Station,1.33514150139202,103.888389300191
89,Bartley MRT Station,1.34250117805245,103.880177899184
90,Serangoon MRT Station,1.35063361526525,103.872771660431
91,Lorong Chuan MRT Station,1.35153128621585,103.864812169514
92,Bishan MRT Station,1.35131580146658,103.84914026532
93,Marymount MRT Station,1.348707263451,103.839423132332
94,Caldecott MRT Station,1.33724561271722,103.840161782075
95,Botanic Gardens MRT Station,1.32211373558877,103.814984510627
96,Farrer Road MRT Station,1.31743915158967,103.807379214161
97,Holland Village MRT Station,1.31226422601049,103.796470444998
98,Buona Vista MRT Station,1.3072237082044,103.790253514502
99,one-north MRT Station,1.29975987493555,103.78745750525
100,Kent Ridge MRT Station,1.29353698622126,103.784572366867
101,Haw Par Villa MRT Station,1.28260725045254,103.781795517386
102,Pasir Panjang MRT Station,1.27621352233766,103.791350313288
103,Labrador Park MRT Station,1.2722270505362,103.802744505566
104,Telok Blangah MRT Station,1.27070647717762,103.809761611219
105,HarbourFront MRT Station,1.26538938374901,103.821530157095
106,Bayfront MRT Station,1.28187378879209,103.859079764874
107,Marina Bay MRT Station,1.27642735476716,103.854597776754
108,Bukit Panjang MRT Station,1.37956121236613,103.761188866252
109,Cashew MRT Station,1.36981544925552,103.76443921414
110,Hillview MRT Station,1.36234486803558,103.767418254007
111,Beauty World MRT Station,1.34090149001429,103.775746717778
112,King Albert Park MRT Station,1.335893496278,103.783235863233
113,Sixth Avenue MRT Station,1.33085764536226,103.796906838288
114,Tan Kah Kee MRT Station,1.32639224146351,103.806548201692
115,Botanic Gardens MRT Station,1.32211373558877,103.814984510627
116,Stevens MRT Station,1.32006555750626,103.826024401924
117,Newton MRT Station,1.3123189224097,103.837984594021
118,Little India MRT Station,1.30724381608438,103.849841614124
119,Rochor MRT Station,1.30385218527656,103.852769428884
120,Bugis MRT Station,1.30046508509717,103.855706730933
121,Promenade MRT Station,1.29399798636232,103.860350000188
122,Bayfront MRT Station,1.28187378879209,103.859079764874
123,Downtown MRT Station,1.27944638178916,103.852840829581
124,Telok Ayer MRT Station,1.28206894769394,103.848648781083
125,Chinatown MRT Station,1.28422391919085,103.845143798953
126,Fort Canning MRT Station,1.29248194822996,103.844331362465
127,Bencoolen MRT Station,1.29891843369422,103.850353762717
128,Jalan Besar MRT Station,1.3051713878069,103.855295713435
129,Bendemeer MRT Station,1.31367252847691,103.862977620945
130,Geylang Bahru MRT Station,1.32130110228321,103.871622627142
131,Mattar MRT Station,1.32687671501334,103.883247509542
132,MacPherson MRT Station,1.32615024457361,103.889298600376
133,Ubi MRT Station,1.32997425973974,103.899226655439
134,Kaki Bukit MRT Station,1.33496735995428,103.908459338046
135,Bedok North MRT Station,1.33474211664091,103.91797832995
136,Bedok Reservoir MRT Station,1.33660782955099,103.932234623286
137,Tampines West MRT Station,1.3456336579777,103.938492495285
138,Tampines MRT Station,1.34551530560119,103.938436971222
139,Tampines East MRT Station,1.35619148271544,103.9546344625
140,Upper Changi MRT Station,1.34173977444995,103.961472788634
141,Expo MRT Station,1.33538252614956,103.962374747451
