,Feature,Name,latitude,longtitude
112,pre-school,Little Greenhouse @ Sengkang Pte. Ltd.,1.39167651418664,103.900382216905
113,pre-school,Little Greenhouse @ Sengkang Pte. Ltd.,1.39337423793923,103.900408419804
114,pre-school,LITTLE GREENHOUSE @ TAMPINES PTE. LTD.,1.35764787273626,103.93689098194
115,pre-school,LITTLE GREENHOUSE @ WOODLANDS PTE. LTD.,1.43333488120743,103.773674050423
116,pre-school,GLOBAL TOTS @ BRADDELL PTE. LTD.,1.34483501031514,103.861946577428
117,pre-school,GLOBAL TOTS @ MOUNTBATTEN PTE LTD,1.29968443549533,103.893811771817
118,pre-school,GLOBAL TOTS @ SEMBAWANG PTE LTD,1.43811188147063,103.824535836162
119,pre-school,GLOBAL TOTS PTE. LTD.,1.31025382506903,103.799256734917
120,pre-school,GLOBALKIDS EDU PTE LTD,1.37563499622552,103.871996421774
121,pre-school,GLORY JOY CHILD DEVELOPMENT CENTRE,1.452185711147,103.82136989322
122,pre-school,GRACE CHILD DEVELOPMENT CENTRE,1.3892919036458,103.900231397149
123,pre-school,GREEN PASTURES CHILD CENTRE,1.32178568094531,103.810754239097
124,pre-school,GREENERY CHILDCARE CENTRE,1.37584148649432,103.737757438519
125,pre-school,GREENFIELD MONTESSORI CHILD CARE PTE. LTD.,1.37789297958346,103.746859099205
126,pre-school,GREENLAND CHILDCARE @ FERNVALE PTE LTD,1.39631551936628,103.881167324746
127,pre-school,GREENLAND CHILDCARE @ PUNGGOL DRIVE PTE LTD,1.40566212234615,103.908718992006
128,pre-school,GREENLAND CHILDCARE @ PUNGGOL PTE LTD,1.40775425674979,103.900906243443
129,pre-school,GREENLAND CHILDCARE @ SUMANG WALK PTE. LTD.,1.40322712051121,103.895387027553
130,pre-school,GREENLAND CHILDCARE CENTRE,1.32415431819916,103.869693090627
131,pre-school,GREENTREE MONTESSORI CHILDREN HUB PTE. LTD.,1.42590641551729,103.823772315211
132,pre-school,GROW & GLOW @ PASIR RIS 21 CENTRE,1.37268853155112,103.961778647268
133,pre-school,GROW & GLOW @ PASIR RIS 51 CENTRE,1.3670130278114,103.950865069012
134,pre-school,GUG Preschool @ Katong Pte Ltd,1.30385030215103,103.902850380057
135,pre-school,GUG PRESCHOOL @ TAMPINES PTE LTD,1.35229015907254,103.941870868065
136,pre-school,GUG PRESCHOOL @ THOMSON,1.3153020235204,103.845605909669
137,pre-school,HAMPTON PRE-SCHOOL,1.34812742976897,103.852330282449
138,pre-school,HAMPTON PRE-SCHOOL TANJONG PAGAR,1.28253466019715,103.829470015998
139,pre-school,HANIS Montessori Playhouse ( Elias Mall ),1.37790945286478,103.942281486106
140,pre-school,HAPPY FAMILY EDU-HUB PTE. LTD.,1.36252410125929,103.951870349748
141,pre-school,HAPPY KIDS CHILDCARE & DEVELOPMENT CENTRE,1.35204685390491,103.933462046726
142,pre-school,HAPPY KIDS PRESCHOOL PTE. LTD.,1.3159336139267,103.881355911449
143,pre-school,HAPPY TOWN CHILD CARE CENTRE,1.31569110784411,103.872387855134
144,pre-school,HARMONI PRESKOOL @ BUANGKOK PTE LTD,1.38235082938794,103.890641438146
145,pre-school,HARMONI PRESKOOL @ YISHUN PTE LTD,1.42162820716796,103.841811429528
146,pre-school,HAVEN INFANT & TODDLER CENTRE,1.32541204132941,103.857481394973
147,pre-school,HAVEN SCHOOLHOUSE @ BAHAGIA,1.32540757464951,103.858565507519
148,pre-school,Haven Schoolhouse @ Bedok North,1.3328889950846,103.941309739956
149,pre-school,Haven Schoolhouse @ Bukit Purmei,1.27176737731542,103.826621974003
150,pre-school,HEALTHY START CHILD DEVELOPMENT CENTRE,1.28278581339277,103.822606055834
151,pre-school,HEARTYLAND INFANT CARE PTE LTD,1.38115529003063,103.751903886481
152,pre-school,HI-5 HOL PRESCHOOL @ BUKIT TIMAH PTE LTD,1.34050987650209,103.78240134809
153,pre-school,Hi5 Hol Sembawang Pte Ltd,1.43725663403326,103.827425476452
154,pre-school,Hi-5 House Of Learning (HOL) Preschool@Joo Seng Pte. Ltd.,1.33622198456174,103.881103303653
155,pre-school,HIS LITTLE KINGDOM CHILD CARE & DEVELOPMENT CENTRE,1.42845096971511,103.825952722712
156,pre-school,HOPE CHILDCARE CENTRE,1.28343107175163,103.818222637628
157,pre-school,HOUSE ON THE HILL PTE LTD,1.30180934719233,103.847104851827
158,pre-school,HOUSE ON THE HILL PTE. LTD.,1.3151352310717,103.833985815703
159,pre-school,HUDA CHILDCARE (WOODLANDS11) PTE. LTD.,1.43475840112514,103.802721060087
160,pre-school,Huda Childcare (WRR) Pte Ltd,1.43475840112514,103.802721060087
161,pre-school,HUDA CHILDCARE PTE. LTD.,1.43475840112514,103.802721060087
162,pre-school,HUI MING CHILD DEVELOPMENT CENTRE,1.37337446915701,103.853040154765
163,pre-school,HUNDRED THOUGHTS PTE LTD,1.27521485223536,103.801329953394
164,pre-school,ICHIBAN MONTESSORI CHILD CARE CENTRE PTE LTD,1.37775634066222,103.746155070949
165,pre-school,ICHIBAN MONTESSORI CHILDCARE CENTRE (CCK) PTE LTD,1.38088418432247,103.739763533221
166,pre-school,ICHIBAN MONTESSORI CHILDCARE CENTRE (FERNVALE) PTE. LTD.,1.39219166012645,103.877586607594
167,pre-school,CARPE DIEM ACE LEARNERS PTE. LTD.,1.34394551006537,103.753259183925
168,pre-school,CARPE DIEM CHILDCARE PTE LTD,1.35806025369331,103.875116234229
169,pre-school,CARPE DIEM CHILDCARE PTE LTD,1.30188733400279,103.9059960379
170,pre-school,CARPE DIEM CHILDCARE PTE. LTD.,1.3609474049428,103.747050647292
171,pre-school,CARPE DIEM CHILDCARE RESORT PTE. LTD.,1.42039548761139,103.907759467751
172,pre-school,CARPE DIEM EDUCARE PTE. LTD.,1.37742262899985,103.764969280674
173,pre-school,CARPE DIEM FIRST YEARS PTE. LTD.,1.36651869401253,103.955623404634
174,pre-school,BUSY BEES SINGAPORE PTE LTD,1.44318523217239,103.815768797809
175,pre-school,BUSY BEES SINGAPORE PTE.LTD,1.37446629608081,103.86908256253
176,pre-school,BUSY BEES SINGAPORE PTE.LTD.,1.42735307847681,103.841219181124
177,pre-school,CAELUM JUNIOR @ BENDEMEER PTE. LTD.,1.31626604047332,103.86252947056
178,pre-school,CAELUM JUNIOR @ DOWNTOWN EAST PTE LTD,1.37714073427961,103.953599086806
179,pre-school,CAELUM JUNIOR LLP,1.34893240912315,103.844676482481
