,Feature,Name,latitude,longtitude
83,parks,GEYLANG EAST PK,1.3217730570619,103.887654505594
84,parks,BANGSAWAN PK,1.32118613560858,103.923799943276
85,parks,AIDA PK,1.31938621487228,103.927918297471
86,parks,JLN SENANG PG,1.32896697428824,103.915627783974
87,parks,TAMAN KEMBANGAN PG,1.32500330294184,103.914402191097
88,parks,WARINGIN PK PG,1.32286071589975,103.919319754854
89,parks,ARTHUR PK,1.30391278713203,103.888199957166
90,parks,GUILLEMARD RD OS,1.314540906614,103.892407902536
91,parks,MARINE PARADE RD PK,1.30529964128934,103.908930978782
92,parks,JOO CHIAT TERRACE PK,1.31438276688334,103.901735117372
93,parks,PASIR RIS TOWN PK,1.37151869308985,103.952449159306
94,parks,ELIAS TERRACE PG,1.37219528190589,103.941114508058
95,parks,CHUAN GREEN PG,1.36050824605874,103.866043110374
